SYMBOL,NAME,SIDE,CURRENCY,CURRENCY_PRICE,REMAIN_QTY,ORIG_QTY
TOOL,Toolkit,BUY,ATLAS,450028,100000,100000
TOOL,Toolkit,BUY,ATLAS,450027,2093947,2097697
TOOL,Toolkit,BUY,ATLAS,450026,20000,20000
TOOL,Toolkit,SELL,ATLAS,493332,100000,110000
TOOL,Toolkit,SELL,ATLAS,494497,86728,2503659
TOOL,Toolkit,SELL,ATLAS,494499,59731,59731
AMMO,Ammunition,BUY,ATLAS,393000,1415131,1500000
AMMO,Ammunition,BUY,ATLAS,390003,442000,500000
AMMO,Ammunition,BUY,ATLAS,390002,4199605,5203299
AMMO,Ammunition,SELL,ATLAS,439999,26047,1500000
AMMO,Ammunition,SELL,ATLAS,455800,2523635,3013635
AMMO,Ammunition,SELL,ATLAS,455996,1734772,1734772
FOOD,Food,BUY,ATLAS,85501,270305,270305
FOOD,Food,BUY,ATLAS,85500,101935,200000
FOOD,Food,BUY,ATLAS,85470,565286,12000000
FOOD,Food,SELL,ATLAS,90599,47399,47399
FOOD,Food,SELL,ATLAS,90645,10737,10737
FOOD,Food,SELL,ATLAS,90645,2090000,2240000
FUEL,Fuel,BUY,ATLAS,287100,348833,348833
FUEL,Fuel,BUY,ATLAS,287020,2360123,2468686
FUEL,Fuel,BUY,ATLAS,287010,598879,2000000
FUEL,Fuel,SELL,ATLAS,308888,100000,100000
FUEL,Fuel,SELL,ATLAS,309999,9867854,12500000
FUEL,Fuel,SELL,ATLAS,310000,17714847,25000000
LUMAN,Lumanite,BUY,ATLAS,450003,300000,300000
LUMAN,Lumanite,BUY,ATLAS,450002,300000,300000
LUMAN,Lumanite,BUY,ATLAS,449999,284893,3000000
LUMAN,Lumanite,SELL,ATLAS,509000,679600,679600
LUMAN,Lumanite,SELL,ATLAS,509194,468520,468520
LUMAN,Lumanite,SELL,ATLAS,509199,214849,214849
ARCO,Arco,BUY,ATLAS,750003,500000,500000
ARCO,Arco,BUY,ATLAS,750002,163959,195348
ARCO,Arco,BUY,ATLAS,750001,133333,133333
ARCO,Arco,SELL,ATLAS,844969,31389,31389
ARCO,Arco,SELL,ATLAS,844990,291881,291881
ARCO,Arco,SELL,ATLAS,844991,585262,585262
SPRCOND,Super Conductor,BUY,ATLAS,4250050,15213,150000
SPRCOND,Super Conductor,BUY,ATLAS,4250000,66000,66000
SPRCOND,Super Conductor,BUY,ATLAS,4112100,50000,50000
SPRCOND,Super Conductor,SELL,ATLAS,4859200,22899,27024
SPRCOND,Super Conductor,SELL,ATLAS,4869900,206792,523792
SPRCOND,Super Conductor,SELL,ATLAS,4869989,40000,40000
BIOMASS,Biomass,BUY,ATLAS,80122,470908,470908
BIOMASS,Biomass,BUY,ATLAS,80112,966497,1000000
BIOMASS,Biomass,BUY,ATLAS,80110,100000,100000
BIOMASS,Biomass,SELL,ATLAS,146920,2351281,2351281
BIOMASS,Biomass,SELL,ATLAS,146980,33503,33503
BIOMASS,Biomass,SELL,ATLAS,147999,2335,2335
CARBON,Carbon,BUY,ATLAS,258200,36290,2000000
CARBON,Carbon,BUY,ATLAS,258100,1491327,3000000
CARBON,Carbon,BUY,ATLAS,257999,11601360,20000000
CARBON,Carbon,SELL,ATLAS,276900,432650,432650
CARBON,Carbon,SELL,ATLAS,277000,275956,654289
CARBON,Carbon,SELL,ATLAS,278000,242649,287649
STEEL,Steel,BUY,ATLAS,850000,97200,97200
STEEL,Steel,BUY,ATLAS,840499,500000,500000
STEEL,Steel,BUY,ATLAS,840497,100000,100000
STEEL,Steel,SELL,ATLAS,1079000,250567,250567
STEEL,Steel,SELL,ATLAS,1080000,5000000,5000000
STEEL,Steel,SELL,ATLAS,1087999,994843,994843
CRYSLAT,Crystal Lattice,BUY,ATLAS,1751159,1000000,1000000
CRYSLAT,Crystal Lattice,BUY,ATLAS,1751159,20000,20000
CRYSLAT,Crystal Lattice,BUY,ATLAS,1751152,200000,200000
CRYSLAT,Crystal Lattice,SELL,ATLAS,2588788,429756,429756
CRYSLAT,Crystal Lattice,SELL,ATLAS,2588789,50000,50000
CRYSLAT,Crystal Lattice,SELL,ATLAS,2639497,1900,113000
ELECTRO,Electronics,BUY,ATLAS,1350004,210947,210947
ELECTRO,Electronics,BUY,ATLAS,1350002,38880,38880
ELECTRO,Electronics,BUY,ATLAS,1350000,38880,38880
ELECTRO,Electronics,SELL,ATLAS,1587643,61119,61120
ELECTRO,Electronics,SELL,ATLAS,1587645,631525,750000
ELECTRO,Electronics,SELL,ATLAS,1650000,1000000,1000000
CPRWIRE,Copper Wire,BUY,ATLAS,351002,400000,400000
CPRWIRE,Copper Wire,BUY,ATLAS,351000,100000,100000
CPRWIRE,Copper Wire,BUY,ATLAS,350000,31000,2000000
CPRWIRE,Copper Wire,SELL,ATLAS,390000,314750,314750
CPRWIRE,Copper Wire,SELL,ATLAS,409000,1987304,1987304
CPRWIRE,Copper Wire,SELL,ATLAS,470000,55000,55000
FEORE,Iron Ore,BUY,ATLAS,270000,100000,100000
FEORE,Iron Ore,BUY,ATLAS,261101,1000000,1000000
FEORE,Iron Ore,BUY,ATLAS,261100,365320,2000000
FEORE,Iron Ore,SELL,ATLAS,300000,1374079,1374079
FEORE,Iron Ore,SELL,ATLAS,307500,163360,163360
FEORE,Iron Ore,SELL,ATLAS,308000,154617,154617
PWRSRC,Power Source,BUY,ATLAS,1950014,11900,11900
PWRSRC,Power Source,BUY,ATLAS,1950014,100000,100000
PWRSRC,Power Source,BUY,ATLAS,1950013,116995,149999
PWRSRC,Power Source,SELL,ATLAS,2300000,2163128,2500000
PWRSRC,Power Source,SELL,ATLAS,2345000,200000,200000
PWRSRC,Power Source,SELL,ATLAS,2610000,3326149,3326149
CUORE,Copper Ore,BUY,ATLAS,261028,900000,900000
CUORE,Copper Ore,BUY,ATLAS,260500,783268,1200000
CUORE,Copper Ore,BUY,ATLAS,252000,500000,500000
CUORE,Copper Ore,SELL,ATLAS,290000,300000,300000
CUORE,Copper Ore,SELL,ATLAS,294900,1073119,1193119
CUORE,Copper Ore,SELL,ATLAS,295000,13000000,13000000
MAGNET,Magnet,BUY,ATLAS,510001,100000,100000
MAGNET,Magnet,BUY,ATLAS,510000,41400,50000
MAGNET,Magnet,BUY,ATLAS,500000,119664,300000
MAGNET,Magnet,SELL,ATLAS,674999,100000,100000
MAGNET,Magnet,SELL,ATLAS,677400,5123,50000
MAGNET,Magnet,SELL,ATLAS,679998,72412,227712
RADABS,Radiation Absorber,BUY,ATLAS,5510002,47420,48358
RADABS,Radiation Absorber,BUY,ATLAS,5510000,21073,21073
RADABS,Radiation Absorber,BUY,ATLAS,5500000,25000,25000
RADABS,Radiation Absorber,SELL,ATLAS,6969690,30000,30000
RADABS,Radiation Absorber,SELL,ATLAS,7089900,136400,502200
RADABS,Radiation Absorber,SELL,ATLAS,7169000,48832,48832
STRANGE,Strange Emitter,BUY,ATLAS,3661010,7000,7000
STRANGE,Strange Emitter,BUY,ATLAS,3661002,49933,59933
STRANGE,Strange Emitter,BUY,ATLAS,3660999,12585,12585
STRANGE,Strange Emitter,SELL,ATLAS,4700000,546110,1000000
STRANGE,Strange Emitter,SELL,ATLAS,5150000,150000,150000
STRANGE,Strange Emitter,SELL,ATLAS,5176000,133652,200000
PRTACL,Particle Accelerator,BUY,ATLAS,7900000,2200,2200
PRTACL,Particle Accelerator,BUY,ATLAS,7815598,110000,110000
PRTACL,Particle Accelerator,BUY,ATLAS,7815552,22324,22324
PRTACL,Particle Accelerator,SELL,ATLAS,11000000,538190,667000
PRTACL,Particle Accelerator,SELL,ATLAS,11648000,20000,20000
PRTACL,Particle Accelerator,SELL,ATLAS,11650000,1321139,1500000
GLDTKT,Golden Ticket,BUY,ATLAS,2536000000,930,2000
GLDTKT,Golden Ticket,BUY,ATLAS,2535000000,10,10
GLDTKT,Golden Ticket,BUY,ATLAS,2535000000,50,50
GLDTKT,Golden Ticket,SELL,ATLAS,2660000000,3580,3580
GLDTKT,Golden Ticket,SELL,ATLAS,2668999999,1000,1000
GLDTKT,Golden Ticket,SELL,ATLAS,2669000000,97,100
GRAPH,Graphene,BUY,ATLAS,1260005,273916,500000
GRAPH,Graphene,BUY,ATLAS,1260003,100000,100000
GRAPH,Graphene,BUY,ATLAS,1260000,6347574,7000000
GRAPH,Graphene,SELL,ATLAS,1338979,118120,118120
GRAPH,Graphene,SELL,ATLAS,1338980,202957,202957
GRAPH,Graphene,SELL,ATLAS,1339980,132026,658026
HCRB,Hydrocarbon,BUY,ATLAS,750000,200000,200000
HCRB,Hydrocarbon,BUY,ATLAS,733335,499576,499576
HCRB,Hydrocarbon,BUY,ATLAS,725054,200000,200000
HCRB,Hydrocarbon,SELL,ATLAS,899999,100194,100194
HCRB,Hydrocarbon,SELL,ATLAS,980000,12000,12000
HCRB,Hydrocarbon,SELL,ATLAS,1000000,1316861,1559699
FRMWRK,Framework,BUY,ATLAS,611542,668609,668609
FRMWRK,Framework,BUY,ATLAS,611539,540000,540000
FRMWRK,Framework,BUY,ATLAS,611522,242679,255841
FRMWRK,Framework,SELL,ATLAS,764991,364111,364112
FRMWRK,Framework,SELL,ATLAS,765000,916127,2000000
FRMWRK,Framework,SELL,ATLAS,768000,444000,1000000
ROCH,Rochinol,BUY,ATLAS,671100,135000,135000
ROCH,Rochinol,BUY,ATLAS,661100,100000,100000
ROCH,Rochinol,BUY,ATLAS,661090,383580,383580
ROCH,Rochinol,SELL,ATLAS,775877,735687,735687
ROCH,Rochinol,SELL,ATLAS,775900,20000,20000
ROCH,Rochinol,SELL,ATLAS,777000,206256,211656
COPPER,Copper,BUY,ATLAS,299002,371017,872982
COPPER,Copper,BUY,ATLAS,299000,270611,500000
COPPER,Copper,BUY,ATLAS,290023,500000,500000
COPPER,Copper,SELL,ATLAS,329899,500000,500000
COPPER,Copper,SELL,ATLAS,329900,200000,200000
COPPER,Copper,SELL,ATLAS,329980,500000,500000
DIAMOND,Diamond,BUY,ATLAS,652000,200000,200000
DIAMOND,Diamond,BUY,ATLAS,650000,150000,150000
DIAMOND,Diamond,BUY,ATLAS,632000,300000,300000
DIAMOND,Diamond,SELL,ATLAS,729900,154996,154996
DIAMOND,Diamond,SELL,ATLAS,730000,71247,71247
DIAMOND,Diamond,SELL,ATLAS,739908,374800,374800
SDU,Survey Data Unit,BUY,ATLAS,155510000,8191,8191
SDU,Survey Data Unit,BUY,ATLAS,155500000,1063,4500
SDU,Survey Data Unit,BUY,ATLAS,155330000,6410,6410
SDU,Survey Data Unit,SELL,ATLAS,163280000,883,2083
SDU,Survey Data Unit,SELL,ATLAS,164999000,30000,30000
SDU,Survey Data Unit,SELL,ATLAS,164999999,348,348
HYG,Hydrogen,BUY,ATLAS,85000,1900000,2000000
HYG,Hydrogen,BUY,ATLAS,83000,500000,500000
HYG,Hydrogen,BUY,ATLAS,81001,1000000,1000000
HYG,Hydrogen,SELL,ATLAS,96999,558049,558049
HYG,Hydrogen,SELL,ATLAS,97000,6902830,6902830
HYG,Hydrogen,SELL,ATLAS,100000,203361,203361
POLYMER,Polymer,BUY,ATLAS,920000,27760,77760
POLYMER,Polymer,BUY,ATLAS,900001,593437,750000
POLYMER,Polymer,BUY,ATLAS,861000,80000,80000
POLYMER,Polymer,SELL,ATLAS,1044985,1572559,2424120
POLYMER,Polymer,SELL,ATLAS,1044989,378464,633464
POLYMER,Polymer,SELL,ATLAS,1044995,600000,600000
ENRGSUB,Energy Substrate,BUY,ATLAS,3400020,27300,27300
ENRGSUB,Energy Substrate,BUY,ATLAS,3400000,24300,24300
ENRGSUB,Energy Substrate,BUY,ATLAS,3212152,50000,50000
ENRGSUB,Energy Substrate,SELL,ATLAS,4100000,1381868,2200000
ENRGSUB,Energy Substrate,SELL,ATLAS,4118999,10042,10042
ENRGSUB,Energy Substrate,SELL,ATLAS,4270000,292798,292798
ELECMAG,Electromagnet,BUY,ATLAS,2222110,20000,20000
ELECMAG,Electromagnet,BUY,ATLAS,2222102,99905,99905
ELECMAG,Electromagnet,BUY,ATLAS,2222100,29109,29109
ELECMAG,Electromagnet,SELL,ATLAS,2976979,143606,143607
ELECMAG,Electromagnet,SELL,ATLAS,2977000,297602,409302
ELECMAG,Electromagnet,SELL,ATLAS,2980000,1213,1213
IRON,Iron,BUY,ATLAS,277000,10000000,10000000
IRON,Iron,BUY,ATLAS,275000,700000,700000
IRON,Iron,BUY,ATLAS,271000,400000,400000
IRON,Iron,SELL,ATLAS,308000,26965,2000000
IRON,Iron,SELL,ATLAS,308938,600000,600000
IRON,Iron,SELL,ATLAS,308939,1242129,1242129
